typeface_slug,display_name,primary_category,designer,license_type,priority,lane,runtime_ready,sub_category,visual_cluster_id,dreyfus_tier,difficulty_base,rarity_tag,year_tag,weight_structure,contrast_profile,aperture_profile,structural_signature,review_status,review_notes
arimo,Arimo,sans_serif,Steve Matteson,apache2,high,replacement,True,,,,,,,,,,,pending,
tinos,Tinos,serif,Steve Matteson,apache2,high,replacement,True,,,,,,,,,,,pending,
lora,Lora,serif,Cyreal,ofl,high,replacement,True,,,,,,,,,,,pending,
cousine,Cousine,mono,Steve Matteson,apache2,high,replacement,True,,,,,,,,,,,pending,
spacegrotesk,Space Grotesk,sans_serif,Florian Karsten,ofl,high,core_sans,True,,,,,,,,,,,pending,
archivo,Archivo,sans_serif,Omnibus-Type,ofl,high,core_sans,True,,,,,,,,,,,pending,
archivoblack,Archivo Black,sans_serif,Omnibus-Type,ofl,medium,core_sans,True,,,,,,,,,,,pending,
archivonarrow,Archivo Narrow,sans_serif,Omnibus-Type,ofl,medium,core_sans,True,,,,,,,,,,,pending,
firasans,Fira Sans,sans_serif,Carrois Apostrophe,ofl,high,core_sans,True,,,,,,,,,,,pending,
manrope,Manrope,sans_serif,Mikhail Sharanda,ofl,high,core_sans,True,,,,,,,,,,,pending,
publicsans,Public Sans,sans_serif,"USWDS, Dan Williams, Pablo Impallari, Rodrigo Fuenzalida",ofl,high,core_sans,True,,,,,,,,,,,pending,
rubik,Rubik,sans_serif,"Hubert and Fischer, Meir Sadan, Cyreal, Daniel Grumer, Omaima Dajani",ofl,medium,core_sans,True,,,,,,,,,,,pending,
outfit,Outfit,sans_serif,"Smartsheet Inc, Rodrigo Fuenzalida",ofl,medium,core_sans,True,,,,,,,,,,,pending,
karla,Karla,sans_serif,Jonny Pinhorn,ofl,medium,core_sans,True,,,,,,,,,,,pending,
mulish,Mulish,sans_serif,"Vernon Adams, Cyreal, Jacques Le Bailly",ofl,medium,core_sans,True,,,,,,,,,,,pending,
heebo,Heebo,sans_serif,Oded Ezer,ofl,medium,core_sans,True,,,,,,,,,,,pending,
librefranklin,Libre Franklin,sans_serif,Impallari Type,ofl,medium,core_sans,True,,,,,,,,,,,pending,
plusjakartasans,Plus Jakarta Sans,sans_serif,Tokotype,ofl,medium,core_sans,True,,,,,,,,,,,pending,
alegreyasans,Alegreya Sans,sans_serif,"Juan Pablo del Peral, Huerta Tipográfica",ofl,medium,core_sans,True,,,,,,,,,,,pending,
asap,Asap,sans_serif,Omnibus-Type,ofl,medium,core_sans,True,,,,,,,,,,,pending,
asapcondensed,Asap Condensed,sans_serif,Omnibus-Type,ofl,medium,core_sans,True,,,,,,,,,,,pending,
exo2,Exo 2,sans_serif,Natanael Gama,ofl,medium,core_sans,True,,,,,,,,,,,pending,
cabin,Cabin,sans_serif,"Impallari Type, Rodrigo Fuenzalida",ofl,medium,core_sans,True,,,,,,,,,,,pending,
cantarell,Cantarell,sans_serif,Dave Crossland,ofl,medium,core_sans,True,,,,,,,,,,,pending,
barlow,Barlow,sans_serif,Jeremy Tribby,ofl,medium,core_sans,True,,,,,,,,,,,pending,
barlowcondensed,Barlow Condensed,sans_serif,Jeremy Tribby,ofl,medium,core_sans,True,,,,,,,,,,,pending,
barlowsemicondensed,Barlow Semi Condensed,sans_serif,Jeremy Tribby,ofl,medium,core_sans,True,,,,,,,,,,,pending,
firasanscondensed,Fira Sans Condensed,sans_serif,Carrois Apostrophe,ofl,medium,core_sans,True,,,,,,,,,,,pending,
crimsonpro,Crimson Pro,serif,Jacques Le Bailly,ofl,high,serif_training,True,,,,,,,,,,,pending,
spectral,Spectral,serif,Production Type,ofl,high,serif_training,True,,,,,,,,,,,pending,
ebgaramond,EB Garamond,serif,"Georg Duffner, Octavio Pardo",ofl,high,serif_training,True,,,,,,,,,,,pending,
fraunces,Fraunces,serif,"Undercase Type, Phaedra Charles, Flavia Zimbardi",ofl,high,serif_training,True,,,,,,,,,,,pending,
domine,Domine,serif,Impallari Type,ofl,medium,serif_training,True,,,,,,,,,,,pending,
bitter,Bitter,serif,Sol Matas,ofl,medium,serif_training,True,,,,,,,,,,,pending,
